,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118,120,122,124,126,128,130,132,134,136,138,140,142,144,146,148,150,152,154,156,158,160,162,164,166,168,170,172,174,176,178,180
0,0.00857367,0.007793183,0.00810539,0.007390083,0.007132071,0.007447598,0.005490462,0.00498145,0.005129484,0.004954274,0.00464808,0.004517143,0.004671688,0.00398049,0.005559246,0.005065067,0.006145375,0.00742249,0.00630125,0.007813902,0.009755467,0.012391639,0.014581597,0.015521535,0.015220189,0.016795452,0.017483096,0.016923578,0.017191898,0.016857659,0.016684134,0.015351147,0.015440355,0.015020889,0.016404159,0.017165119,0.016945231,0.016739985,0.016130382,0.015618522,0.015866906,0.015752623,0.0162618,0.017654528,0.018378355,0.018200647,0.017851689,0.017982299,0.018309846,0.017697244,0.018203944,0.01935311,0.019604765,0.019308964,0.019798163,0.020348348,0.020062101,0.019862714,0.019948541,0.020559567,0.020983729,0.020592455,0.019919527,0.019383402,0.019281235,0.019314574,0.01822499,0.018457089,0.018530901,0.018330862,0.018554362,0.018131834,0.017745682,0.017295325,0.017621643,0.01551595,0.015140585,0.014637842,0.014292042,0.013759175,0.011777597,0.010681774,0.009772879,0.00936458,0.008314699,0.007324384,0.007303875,0.006882797,0.006389509,0.004924579,0.005198556
10,0.005000486,0.003348734,0.002944576,0.002718538,0.001650303,0.00160421,0.001817563,0.002236881,0.002650238,0.000802105,0.000838675,0.00130004,0.001761682,0.002802465,0.003894131,0.004073207,0.004735473,0.006518634,0.007834353,0.010371591,0.011050375,0.011760603,0.011815746,0.015016894,0.017702612,0.017669438,0.017485098,0.016737994,0.016486962,0.01642193,0.017524233,0.01947468,0.02261934,0.020998101,0.018826709,0.018500655,0.017177641,0.017126234,0.00615838,0.010865106,0.007206467,0.003622725,0.001721486,0.003262512,0.005293869,0.008057541,0.01080141,0.014048323,0.016367234,0.017874549,0.018520554,0.018432148,0.019848276,0.021023724,0.021545262,0.021107594,0.020831942,0.021454403,0.021199939,0.021412177,0.021378912,0.022176414,0.02182275,0.021883766,0.021670994,0.021102066,0.020254095,0.019360085,0.017952428,0.017365533,0.017080431,0.01579489,0.014541879,0.014242743,0.014465687,0.014953828,0.014585483,0.014546348,0.014404027,0.012590989,0.011836464,0.011086516,0.01000747,0.009776971,0.009300284,0.008671481,0.007136276,0.005845119,0.004652023,0.004635872,0.005350241
20,0.003151286,0.00320842,0.003292516,0.003775474,0.003682955,0.002055138,0.002879324,0.002236881,0.001374815,0.002586582,0.002064847,0.001357736,0.000814478,0.002381249,0.001600049,0.002138601,0.002663413,0.004100532,0.005608498,0.006264641,0.00632712,0.006957463,0.008021674,0.008663597,0.009340699,0.010026771,0.011221899,0.01134774,0.010642223,0.010743853,0.011613422,0.012003283,0.012407232,0.014506074,0.016148661,0.016053838,0.016150519,0.015821144,0.015005901,0.015567213,0.016852913,0.016650133,0.016480289,0.016673041,0.018407173,0.01868006,0.019292383,0.018540343,0.018309391,0.018868273,0.019236318,0.020431564,0.020284932,0.020916262,0.021657069,0.021462792,0.021033077,0.021418948,0.021930634,0.022078113,0.020794945,0.019772047,0.019751637,0.01902092,0.018071523,0.017818045,0.017809062,0.018669349,0.018063035,0.017789959,0.017480903,0.017045265,0.017446449,0.016867445,0.015652634,0.015851141,0.015260326,0.013795468,0.013206967,0.012207884,0.01169708,0.011273468,0.010626863,0.009914434,0.00855031,0.007060197,0.007503784,0.006789414,0.006439399,0.00450606,0.004717488
30,0.002482682,0.002055138,0.00234599,0.002330307,0.002523963,0.002498743,0.00276233,0.002645832,0.002227922,0.001942566,0.001677351,0.001193072,0.001276753,0.001747432,0.000929186,0.000208173,0.001153291,0.002306583,0.002306583,0.002929822,0.003134315,0.004348696,0.005216799,0.006149171,0.006035359,0.006834192,0.007355041,0.008960742,0.01050286,0.011309781,0.012144917,0.013291882,0.013634198,0.01396932,0.012953001,0.013250436,0.014058997,0.014460847,0.016052593,0.016850737,0.01781187,0.019050778,0.020054124,0.019262035,0.018657025,0.018958514,0.020076054,0.019937509,0.020433277,0.020113379,0.019657999,0.019773565,0.019572346,0.020521429,0.020397763,0.020473615,0.020683313,0.02005562,0.019577199,0.019378156,0.019113929,0.018378537,0.018623493,0.017569828,0.016165064,0.015425883,0.013770799,0.014178232,0.013855506,0.013230042,0.013448583,0.013329448,0.012217165,0.011212389,0.011500496,0.010443179,0.009350686,0.009566378,0.010124043,0.01025913,0.010420651,0.009641007,0.009434446,0.008391521,0.007824134,0.007155869,0.007092701,0.005914006,0.005188607,0.004020488,0.004389135
40,0.003385858,0.003271695,0.002107195,0.001021468,0.000655764,0.000585964,0.000709482,0.001153291,0.001345403,0.001767349,0.001747432,0.000971283,0.000757211,0.001101548,0.001374815,0.002010866,0.003028844,0.003724359,0.004392552,0.004301681,0.003439582,0.003647485,0.00321413,0.003412337,0.00510995,0.006150797,0.007015198,0.007128565,0.00818377,0.009279831,0.00959213,0.010967103,0.012158085,0.012500515,0.014002332,0.015170499,0.015660086,0.01690091,0.017250744,0.017402926,0.01725171,0.018013878,0.018162694,0.019966163,0.019289273,0.020085765,0.020385175,0.0206164,0.020711579,0.021305657,0.021892752,0.022087397,0.022101429,0.021799977,0.022444467,0.022120877,0.021944462,0.021301589,0.021434972,0.022379319,0.023026847,0.023751163,0.02230098,0.02166107,0.021960254,0.021054462,0.019758386,0.018767654,0.017279802,0.017635825,0.016825792,0.016686232,0.017202366,0.017539729,0.01672305,0.016013712,0.015379784,0.01487336,0.014290759,0.013422903,0.012059528,0.010897274,0.010140494,0.009412159,0.008386157,0.008903267,0.008118745,0.006638224,0.006310766,0.006161357,0.006451037
50,0.002443433,0.002615419,0.002645832,0.002055138,0.002424945,0.002804249,0.002468543,0.0026084,0.00327475,0.002977226,0.00285374,0.003265576,0.002779173,0.002843207,0.002400073,0.001553538,0.001289742,0.005985999,0.009415877,0.010256531,0.010343913,0.010061288,0.00851045,0.007950295,0.007355721,0.006256654,0.006906247,0.007681597,0.008896525,0.010078006,0.012359989,0.013329698,0.013257478,0.013355556,0.013113117,0.014307894,0.014481809,0.014884338,0.014835659,0.016359289,0.018329862,0.018675776,0.017570492,0.01820138,0.019054278,0.018951128,0.019551641,0.020221728,0.01993082,0.018862265,0.01910067,0.019052353,0.019002773,0.019160178,0.019358363,0.020859448,0.020955114,0.020861205,0.020659527,0.020365542,0.019979182,0.019802709,0.018901988,0.01900935,0.019552323,0.019452329,0.017955027,0.018160125,0.017538304,0.016185775,0.017157544,0.017402926,0.017102081,0.016000488,0.015956364,0.01590059,0.014155408,0.013706378,0.012557851,0.011576766,0.011494842,0.011056708,0.010602839,0.009352469,0.00926653,0.008502024,0.007622131,0.006199383,0.004673828,0.005003152,0.005159938
60,0.00311939,0.003707313,0.003553041,0.002722215,0.002563279,0.002773771,0.002968816,0.002138601,0.002490725,0.002638893,0.003041474,0.002879324,0.001992547,0.001159058,0.001769235,0.002628768,0.002455681,0.001285859,0.00135035,0.00161663,0.002055138,0.002940044,0.003905244,0.003764421,0.004532614,0.005936791,0.007544102,0.007868107,0.008409973,0.008599293,0.009209697,0.010042385,0.010455143,0.011846036,0.012742838,0.013627962,0.014568332,0.016407003,0.016451743,0.016512722,0.017591538,0.019687483,0.018191853,0.018267011,0.019568513,0.020273014,0.020092651,0.02007954,0.020013856,0.020488915,0.021115173,0.020817295,0.020213567,0.020644354,0.020373234,0.020765107,0.02084538,0.021473972,0.021571549,0.020846019,0.020951137,0.021431784,0.021866699,0.022552924,0.022550854,0.02131387,0.021153029,0.019812722,0.018051682,0.01621078,0.01580217,0.015370245,0.014593937,0.013676796,0.014762903,0.014038947,0.013220212,0.012604485,0.01210092,0.011679968,0.011699217,0.012074031,0.01194454,0.011112495,0.009514665,0.008466663,0.007708888,0.006444574,0.005824552,0.00481367,0.005804773
70,0.000152757,0.000152757,0.001473137,0.001792632,0.002122171,0.001415435,0.001305158,0.001656352,0.000950468,0.000550774,0.000550774,0.000901877,0.000305514,0.000152757,0.001249038,0.000971283,0.001266267,0.001890384,0.003027192,0.00305023,0.001682312,0.001021468,0.00101163,0.003296058,0.00469198,0.005493194,0.006565513,0.007266812,0.007736083,0.008528449,0.009100278,0.011204062,0.011850397,0.011163823,0.011666118,0.013003602,0.013512752,0.014888817,0.015358311,0.016104218,0.015761509,0.016458935,0.017218636,0.018293818,0.019624649,0.020167998,0.021520493,0.020767514,0.020050799,0.020451622,0.020652265,0.021001355,0.020652265,0.021428751,0.022164009,0.022173032,0.02225624,0.021575026,0.021208507,0.020801356,0.020751135,0.020059775,0.020000944,0.019458326,0.01944213,0.01910765,0.019064422,0.018922082,0.018211633,0.018517944,0.017071842,0.017328348,0.018267194,0.017849448,0.016584937,0.016532595,0.016212836,0.015188068,0.014120393,0.014478126,0.01380344,0.011554717,0.010300962,0.009263292,0.00830206,0.006939952,0.005534004,0.006140491,0.005750248,0.004645928,0.00360751
80,0.002007547,0.001752195,0.000832692,0.000984916,0.000850516,0.000200006,0.000680707,0.001450332,0.002203095,0.002103236,0.002818478,0.003166061,0.002802465,0.001569549,0.001703969,0.001833995,0.001761682,0.000950468,0.001417788,0.002309472,0.003652964,0.003736422,0.003524782,0.003950226,0.005173487,0.005039003,0.005965359,0.007695905,0.009403123,0.009755809,0.010240592,0.010459287,0.011304032,0.011898402,0.012232026,0.012777061,0.012905044,0.013752874,0.016001426,0.016317769,0.016908502,0.017958926,0.018758593,0.018451128,0.019501364,0.019905967,0.019756699,0.020008942,0.020755151,0.020902631,0.020354081,0.020495584,0.021505152,0.021726914,0.021862582,0.02244001,0.022513202,0.021201826,0.020710372,0.021081757,0.02074286,0.020285178,0.020452274,0.020050799,0.019452329,0.019552323,0.020207299,0.019941605,0.020114374,0.019079366,0.018613556,0.018075673,0.017524233,0.017431634,0.017476326,0.017580923,0.016877422,0.015767853,0.014398472,0.013306921,0.013029212,0.013303538,0.015158739,0.016566736,0.017088529,0.017312181,0.015163906,0.012857686,0.012745715,0.012911242,0.01113003
90,0.005936791,0.00512168,0.005793564,0.006815876,0.007365685,0.007219869,0.007708023,0.006206906,0.005908085,0.005159938,0.004229786,0.003121527,0.002645832,0.002600079,0.002532533,0.002651496,0.001847577,0.002052703,0.002768357,0.002458394,0.003041474,0.004623271,0.005632223,0.007731342,0.011494842,0.010159214,0.009414638,0.010850677,0.008927385,0.006691243,0.006677778,0.007583327,0.00923193,0.010530912,0.011466096,0.014038947,0.014881426,0.014098066,0.014260987,0.015077042,0.015866275,0.016362753,0.01680081,0.017516622,0.017873803,0.018688088,0.018569447,0.019217593,0.019351129,0.020800955,0.020353098,0.020133755,0.020573668,0.020950421,0.0212629,0.021007069,0.021207014,0.020900718,0.020408791,0.020150636,0.020403564,0.019754168,0.018800662,0.017900639,0.018469547,0.019210046,0.018636377,0.018801194,0.017889742,0.017750753,0.019692985,0.02162526,0.020673641,0.018750861,0.017059536,0.017413458,0.018733431,0.017625236,0.016760285,0.015564001,0.014752738,0.013497202,0.01166326,0.010250679,0.010625452,0.009817292,0.008224808,0.008103539,0.005963403,0.00597764,0.006408263
