,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118,120,122,124,126,128,130,132,134,136,138,140,142,144,146,148,150,152,154,156,158,160,162,164,166,168,170,172,174,176,178,180,
0,0.9142279000213629,0.8670264595477157,0.8345254676961578,0.8009244422742394,0.7701235023041475,0.7414226264229256,0.717521897030549,0.7041214880825221,0.68702096621601,0.6786207098605304,0.7053215247047334,0.7464227790154729,0.7984243659779656,0.8573261635181738,0.9239281960509049,0.9950303659169286,1.0675325785088656,1.1499350932340464,1.2395378276924953,1.3312406262398144,1.4320437025055697,1.5301466963713493,1.6386500076296273,1.7492533829767754,1.8560566423535876,1.9594597979674673,2.0617629200109864,2.1692662007507555,2.2758694540238658,2.3829727225562305,2.477375603503525,2.569178405102695,2.66258125553148,2.7601842341380047,2.8574872035889767,2.943589831232643,3.023792278817103,3.1041947325052646,3.1806970671712396,3.2557993591113012,3.323501425214393,3.385303311258278,3.44250505691702,3.4973067293313393,3.5596086306344796,3.6109101962340158,3.660111697744682,3.6978128482924895,3.734313962218085,3.7704150639362775,3.798515921506394,3.8186165349284344,3.8297168736838896,3.8404172002319408,3.847017401654103,3.8520175542466504,3.854517630542924,3.854017615283669,3.8526175725577563,3.8509175206762905,3.8443173192541273,3.8290168523209327,3.7969158726767787,3.74431426740318,3.6862124942777794,3.6232105716116827,3.555508505508591,3.474606036561174,3.3999037568285164,3.323001409955138,3.2453990417188026,3.1654966032898955,3.0740938138981293,2.974790783410138,2.8815879390850547,2.776484731589709,2.670681502731407,2.555077974791711,2.418573809015168,2.2705692922757654,2.1256648701437424,1.9921607959227272,1.8713571092867824,1.7657538865321818,1.6715510116885892,1.597348747215186,1.540347007660146,1.4876453993346965,1.438843910031434,1.399242701498459,1.3688417737357708,
10,0.9457288613544115,0.8990274361400189,0.8614262886440627,0.8288252937406537,0.7999244117557299,0.7765236976226082,0.7532229865413373,0.7370224921414837,0.7244221076082644,0.7232220709860531,0.7489228553117466,0.7951242652668844,0.8450257881405072,0.9099277687917722,0.9763297952208014,1.048231989501633,1.129834479812006,1.2119369853816337,1.2989396404919584,1.3932425183874022,1.492545548875393,1.587848457289346,1.6903515854365674,1.7989548997466964,1.9056581560716574,2.0058612140263072,2.1090643635364845,2.210367455061495,2.313370598467971,2.412173613696707,2.50747652211066,2.608379601428266,2.7071826166570023,2.799685439619129,2.888888161870174,2.9728907254249703,3.0583933347575307,3.1361957090975676,3.209197936948759,3.2775000213629566,3.3432020264290294,3.410404077272866,3.468505850398267,3.5236075319681386,3.5778091860713523,3.630610797448653,3.67571217383343,3.7129133091219826,3.7439142551957763,3.7721151158177437,3.801916025269326,3.822516653950621,3.8338169988097786,3.8406172063356427,3.847117404705954,3.8515175389873955,3.8541176183355206,3.8542176213873716,3.8529175817133092,3.8493174718466747,3.8420172490615556,3.8254167424542986,3.78971565294351,3.740514151432844,3.684912454603717,3.6182104190191353,3.539808026367992,3.4613056306649983,3.378603106784265,3.2954005676442764,3.216198150578326,3.127795452742088,3.0361926572466205,2.9329895077364423,2.8332864650410476,2.732683394878994,2.6227800408948028,2.498276241340373,2.3541718436231576,2.2035672475356307,2.0597628589739676,1.9251587511825923,1.797554857020783,1.6900515762810144,1.5996488174077579,1.5211464217047639,1.4528443372905668,1.3926425000762963,1.3411409283730582,1.3030397656178474,1.271038789025544,
20,0.9834300119022187,0.9373286049989319,0.8940272835474716,0.860526261177404,0.8316253791924804,0.8094247016815699,0.7865240028077028,0.7628232795190283,0.7515229346598713,0.7598231879634999,0.7895240943632313,0.8312253669850764,0.8762267403180029,0.9361285683767205,1.0004305307168797,1.0719327127903073,1.1465349894711143,1.2278374706259347,1.319040253913999,1.4115430768761255,1.5129461714529864,1.617149351481674,1.7242526200140385,1.830455861079745,1.9361590868861964,2.04416238288522,2.1492655903805655,2.250768688009278,2.351471761223182,2.4486747276223033,2.5433776177251506,2.6389805352946563,2.734683455916013,2.8247862056337167,2.910188811914426,2.9896912381359293,3.074093813898129,3.156696334727012,3.2262984588152714,3.2893003814813686,3.3581024811548206,3.4286046327097384,3.4920065675832395,3.547708267464217,3.597809796441542,3.6478113223670157,3.6970128238776816,3.733013922544023,3.7644148808252207,3.786815564439833,3.8110163029877624,3.8288168462172307,3.838517142246773,3.8447173314615313,3.8489174596392712,3.8506175115207375,3.8535176000244147,3.854517630542924,3.85301758476516,3.848917459639271,3.839417169713431,3.823316678365429,3.788415613269448,3.7336139408551285,3.670312009033479,3.606510061952574,3.5358079042939545,3.4577055207983642,3.3684027954954683,3.281100131229591,3.1969975646229436,3.114395043794061,3.0199921628467665,2.9071887203588975,2.7705845515305034,2.652980962553789,2.549477803888058,2.4339742790002137,2.307770427564318,2.162065981017487,2.015161497848445,1.8766572710348828,1.7509534348582414,1.637549974059267,1.5431470931119726,1.4566444532609026,1.3793420941801204,1.3161401654103213,1.2636385631885738,1.2168371349223301,1.1751358623004853,
30,1.0417317911313213,0.9966304147465437,0.9585292519913328,0.9304283944212166,0.9033275673696097,0.8771267677846615,0.8522260078737754,0.8353254921109653,0.8196250129703666,0.8250251777703177,0.8523260109256263,0.8944272957548753,0.9409287148655661,0.9971304300057985,1.0595323343607899,1.1284344370860928,1.2079368633075962,1.2887393292031617,1.3723418805505538,1.46374466994232,1.5626476882229072,1.6616507095553454,1.7625537888729514,1.8615568102053897,1.963159910885952,2.0703631824701683,2.1766664265877256,2.2786695394756924,2.3816726828821677,2.4816757347331158,2.5854789025543994,2.687082003234962,2.779184813989685,2.860887307351909,2.946589922788171,3.0340925931577507,3.1167951170384836,3.195097506637776,3.265499655140843,3.330401635792108,3.3976036866359447,3.4621056550798057,3.5207074434644614,3.5750091006195257,3.6289107455671865,3.6753121616260263,3.7146133610034484,3.746814343699454,3.775415216528825,3.797415887936033,3.8165164708395642,3.828816846217231,3.8386171452986235,3.844117313150426,3.848017432172613,3.8499174901577806,3.850517508468886,3.8498174871059296,3.8497174840540787,3.8463173802911466,3.8389171544541765,3.819416559343242,3.782415430158391,3.7361140171514022,3.677212219611194,3.604710007019257,3.526707626575518,3.4518053407391585,3.3718028992584,3.280700119022187,3.18499719840083,3.0907943235572377,2.9984915066988127,2.8827879757072665,2.7445837580492567,2.630580278939177,2.5263770989104897,2.4252740134891813,2.315270656453139,2.194866982024598,2.053962681966613,1.9100582903530992,1.776954228339488,1.6543504867702263,1.5448471449934384,1.450444264046144,1.3697418012024294,1.303539780877102,1.2431379375591296,1.1891362895596178,1.141334830774865,
40,1.1321345500045779,1.0944333994567705,1.0574322702719199,1.0313314737388226,1.0043306497390667,0.9760297860652486,0.9530290841395307,0.9348285287026582,0.923728189947203,0.9132278695028535,0.919928073976867,0.9491289651173437,0.9978304513687553,1.0531321390423292,1.1186341380046998,1.1822360789819024,1.2585384075441755,1.3451410504470962,1.4322437086092714,1.5220464491714225,1.6102491409039583,1.708152128666036,1.8141553636280405,1.9195585802789392,2.0190616168706326,2.116864601580859,2.219467732779931,2.3176707296975616,2.416573747978149,2.513976720480972,2.6095796380504774,2.708682662434767,2.8022855189672535,2.8926882778405103,2.9771908566545613,3.0544932157353433,3.136695724356822,3.2119980224005857,3.283300198370312,3.3506022522659995,3.418304318369091,3.4845063386944184,3.5414080751976074,3.596909768974883,3.641011114841151,3.6889125766777555,3.733213928647725,3.765914926602985,3.791115695669424,3.8108162968840604,3.8262167668691065,3.8348170293282875,3.8406172063356427,3.8449173375652332,3.848117435224464,3.8504175054170355,3.851017523728141,3.8507175145725885,3.8496174810022277,3.847517416913358,3.8437173009430223,3.8332169804986727,3.8043160985137487,3.759514731284524,3.7054130802331615,3.633610889004181,3.5545084749900817,3.467605822931608,3.381803204443495,3.2949005523850214,3.203097750785852,3.1077948423718986,3.0052917142246773,2.9070887173070465,2.800985479293191,2.6737815973387864,2.5372774315622424,2.423973973815119,2.3164706930753507,2.2046672811059906,2.0779634144108403,1.9414592486342968,1.8131553331095311,1.6829513595995973,1.564847755363628,1.4567444563127538,1.3674417310098577,1.288239313943907,1.2160371105075227,1.1593353801080357,1.1042336985381636,
50,1.2393378215887936,1.2032367198706013,1.1707357280190436,1.1392347666859952,1.1154340403454697,1.0913333048493912,1.0636324594866786,1.0337315469832453,1.00783075655385,0.9952303720206306,0.9877301431318095,1.003730631427961,1.0410317697683646,1.0991335428937652,1.1612354380932035,1.2299375347148045,1.2989396404919584,1.372241877498703,1.4525443281350139,1.5434471022675251,1.645050202948088,1.7411531357768486,1.8375560777611621,1.9377591357158117,2.0374621784112064,2.1404653218176826,2.242968449964904,2.3387713736381115,2.43887442854091,2.5369774224066894,2.6346804040650653,2.72488315683462,2.8142858851893675,2.9070887173070465,2.9972914700766013,3.079593981749931,3.1594964201788382,3.2381988219855344,3.3105010284737695,3.3773030671102022,3.4404049928281504,3.504406946012757,3.563208740501114,3.61661037018952,3.6658118717001864,3.706613116855373,3.7436142460402237,3.771615100558489,3.796315854365673,3.813316373180334,3.826916788232063,3.8367170873134557,3.8434172917874694,3.847117404705954,3.8499174901577806,3.8499174901577806,3.8502174993133336,3.8491174657429728,3.8481174352244634,3.8422172551652576,3.8370170964690087,3.8248167241431927,3.805916147343364,3.7744151860103154,3.7271137424848173,3.6631117893002108,3.5923096285897396,3.5114071596423235,3.4211044038209177,3.3292015991698967,3.231598620563372,3.137295742667928,3.032892556535539,2.927889352092044,2.8273862849818414,2.7238831263161107,2.614679793694876,2.4862758751182596,2.354171843623157,2.225367912839137,2.1028641743217262,1.9743602526932587,1.8477563890499589,1.7202524979400007,1.5999488265633106,1.4857453413495285,1.3804421277504808,1.290039368877224,1.2225373088778344,1.1546352366710408,1.099533555101169,
60,1.2964395641956847,1.2667386577959534,1.2337376506851405,1.2076368541520432,1.179335990478225,1.1521351603747672,1.1279344218268381,1.103433674123356,1.0814330027161474,1.0591323221533862,1.0426318185979797,1.0420318002868743,1.0751328104495377,1.128034424878689,1.1832361095004118,1.2523382183294167,1.3293405682546466,1.4023427961058381,1.4849453169347209,1.5638477248451186,1.6572505752739037,1.7563535996581927,1.8556566301461839,1.950559526352733,2.040762279122288,2.1396652974028747,2.239068330942717,2.3333712088381606,2.4292741355632193,2.526577105014191,2.6287802240058595,2.72588318735313,2.8126858363597522,2.902788586077456,2.993091341898862,3.0779939329203163,3.1595964232306897,3.23249864803003,3.30530086977752,3.3767030487990968,3.443305081331828,3.508007055879391,3.559308621478927,3.6115102145451212,3.663811810663167,3.7128133060701316,3.7489144077883236,3.7770152653584397,3.802016028321177,3.8220166386913665,3.8329169713431197,3.84031719718009,3.8431172826319164,3.8456173589281897,3.847317410809656,3.847517416913358,3.84671739249855,3.8428172734763635,3.8393171666615804,3.8316169316690574,3.819516562395093,3.8007159886471147,3.7771152684102907,3.743114230780969,3.6961127964110236,3.6403110934781946,3.5775091769157994,3.51530727866451,3.4405049958800014,3.3571024506363107,3.261699539170507,3.1711967772453993,3.073593798638875,2.9735907467879272,2.864687423322245,2.75118395947142,2.6479808099612416,2.531077242347484,2.4070734580523085,2.275569444868313,2.1383652577288124,2.007961278115177,1.8806573931089208,1.7527534897915586,1.6208494644001588,1.499945774712363,1.394842567217017,1.3003396832178717,1.2143370586260567,1.1428348765526293,1.0876331919309061,
70,1.3198402783288063,1.2809390911587877,1.253838264107181,1.2306375560777612,1.2038367381817072,1.173735819574572,1.1428348765526293,1.120834205145421,1.1022336375011443,1.082133024079104,1.061232386242256,1.0540321665089878,1.0750328073976867,1.1226342600787378,1.1807360332041381,1.242737925351726,1.320640302743614,1.395642591631825,1.4801451704458755,1.5643477401043735,1.6539504745628224,1.7558535843989378,1.8528565446943572,1.9518595660267952,2.040562273018586,2.1441654347361676,2.250168669698172,2.3426714926602985,2.4382744102298046,2.5293771904660174,2.629580248420667,2.725183165990173,2.8203860713522753,2.906688705099643,2.992191314432203,3.0826940763573107,3.1688967070528276,3.2535992919705805,3.3243014496292,3.3900034546952726,3.4574055116428113,3.5213074617755673,3.576609149449141,3.623910592974639,3.6737121127964114,3.718313473921934,3.753914560380871,3.779315335551012,3.8032160649433884,3.821416620380261,3.8332169804986727,3.8404172002319408,3.841817242957854,3.8442173162022764,3.8445173253578293,3.8459173680837426,3.843117282631916,3.840017188024537,3.8336169927060766,3.82451671498764,3.8088162358470417,3.7811153904843287,3.746514334543901,3.706013098544267,3.6592116702780237,3.6011098971526234,3.541108066042055,3.4788061647389146,3.406403955198828,3.3296016113773,3.2552993438520463,3.177796978667562,3.087494222846156,2.992791332743309,2.896988409070101,2.7968853541673027,2.685581957457198,2.5660783104953158,2.44307455671865,2.3181707449568165,2.1824666035950804,2.04836251106296,1.9222586626789147,1.786054506057924,1.6465502487258523,1.5142462111270487,1.398642683187353,1.3020397350993378,1.217237147129734,1.1463349833674124,1.082233027130955,
80,1.2989396404919584,1.2630385448774684,1.2315375835444198,1.2009366496780296,1.179435993530076,1.1582353465376751,1.1346346263008515,1.11233394573809,1.0934333689382612,1.080432972197638,1.0665325479903562,1.057232264168218,1.0825330362865078,1.1308345103305155,1.1940364391003144,1.2601384563737907,1.3367407940916167,1.4143431623279519,1.501845832697531,1.5870484328745385,1.672051026947844,1.7685539719840084,1.8715571153904844,1.9734602252265998,2.072463246559038,2.16766615192114,2.2720693380535297,2.373772441785943,2.471475423444319,2.5621781914731283,2.652780956450087,2.749383904538102,2.846886880092776,2.934489553514206,3.0216922147282332,3.1068948149052398,3.193297451704459,3.2709998229926454,3.3394019104586934,3.4077039948728904,3.4699058931241797,3.5358079042939545,3.5911095919675287,3.641211120944853,3.6868125125888853,3.7281137730033267,3.765114902188177,3.7894156437879576,3.8100162724692526,3.823716690572833,3.8338169988097786,3.8405172032837918,3.8442173162022764,3.8457173619800407,3.846817395550401,3.8445173253578293,3.8426172673726615,3.839917184972686,3.831116916409803,3.813516379284036,3.7874155827509384,3.7563146336252937,3.7189134922330394,3.6696119876705224,3.613110263374737,3.5543084688863797,3.498606769005402,3.438804943998535,3.3659027191991946,3.2890003723258157,3.2152981231116673,3.1400958281197546,3.0596933744315926,2.963690444654683,2.8681875301370283,2.7743846675008395,2.676981694998016,2.564278255561998,2.4398744590594195,2.3181707449568165,2.1809665578173165,2.04836251106296,1.9101582934049501,1.759653700369274,1.616649336222419,1.4898454664754173,1.374141935483871,1.2736388683736686,1.1901363200781274,1.1175341044343394,1.0570322580645164,
90,1.3236403942991424,1.2877392986846523,1.2590384228034304,1.2273374553666798,1.1975365459150975,1.1743358378856774,1.1558352732932524,1.1360346690267649,1.114534012878811,1.0997335612048706,1.084233088167974,1.0810329905087435,1.1060337534714806,1.1542352244636371,1.2181371745963927,1.293639478743858,1.3723418805505538,1.4556444227423933,1.543747111423078,1.6356499160740992,1.7297527878658405,1.8314558915982544,1.938959172338023,2.0490625324259164,2.14866557206946,2.2446685018463697,2.340271419415876,2.4376743919186987,2.5434776207770016,2.6423806390575884,2.7343834467604604,2.822286129337443,2.9145889461958676,3.0091918332468643,3.0927943845942565,3.170296749778741,3.2415989257484665,3.3202013245033113,3.398503714102603,3.4621056550798057,3.5180073610644857,3.572409021271401,3.629610766930143,3.6765121982482376,3.718613483077487,3.7526145207068087,3.7854155217139196,3.8065161656544695,3.8222166447950685,3.8320169438764613,3.8395171727652824,3.8446173284096803,3.8456173589281897,3.847217407757805,3.847117404705954,3.846617389446699,3.8423172582171086,3.8356170537430954,3.82131661732841,3.8034160710470903,3.7839154759361553,3.750414453566088,3.7033130161442918,3.6504114017151403,3.5997098544267097,3.5433081331827756,3.4803062105166784,3.4088040284432513,3.3371018402661212,3.2679997314371168,3.1911973876155892,3.103194701986755,3.0142919888912623,2.9259892941068757,2.8332864650410476,2.7318833704641863,2.628980230109561,2.51487674794763,2.3919729972228154,2.2626690511795404,2.1213647389141514,1.9803604358043154,1.8525565355388043,1.7113522263252663,1.5693478926969207,1.4448440931424908,1.3393408734397412,1.250238154240547,1.1685356608783226,1.0951334208197272,1.0279313699758905,
